link_id,from_node_id,to_node_id,from_cell_code,time_period,volume,background_volume,major_path_volume,ratio_of_major_path_flow,geometry,notes
201342BA,202734,202580,,1000_1500,150.870,0.000,150.870,1.000,"LINESTRING (-112.394613 33.675421, -112.401711 33.680947)",
201342BA,202734,202580,,1500_1800,84.700,0.000,84.700,1.000,"LINESTRING (-112.394613 33.675421, -112.401711 33.680947)",
201343AB,202611,202580,,0600_0900,2442.606,0.000,2442.606,1.000,"LINESTRING (-112.407114 33.677112, -112.402696 33.679682)",
201343AB,202611,202580,,1000_1500,861.619,0.000,861.619,1.000,"LINESTRING (-112.407114 33.677112, -112.402696 33.679682)",
201343AB,202611,202580,,1500_1800,483.724,0.000,483.724,1.000,"LINESTRING (-112.407114 33.677112, -112.402696 33.679682)",
201344AB,202611,202579,,0600_0900,3677.630,0.000,3677.630,1.000,"LINESTRING (-112.407114 33.677112, -112.405285 33.678920)",
201344AB,202611,202579,,1000_1500,714.769,0.000,714.769,1.000,"LINESTRING (-112.407114 33.677112, -112.405285 33.678920)",
201344AB,202611,202579,,1500_1800,401.281,0.000,401.281,1.000,"LINESTRING (-112.407114 33.677112, -112.405285 33.678920)",
201345AB,202767,202578,,0600_0900,4952.129,0.000,4952.129,1.000,"LINESTRING (-112.403252 33.681410, -112.405692 33.679114)",
201345AB,202767,202578,,1000_1500,784.819,0.000,784.819,1.000,"LINESTRING (-112.403252 33.681410, -112.405692 33.679114)",
201345AB,202767,202578,,1500_1800,440.608,0.000,440.608,1.000,"LINESTRING (-112.403252 33.681410, -112.405692 33.679114)",
201346AB,202790,202577,,0600_0900,15292.469,0.000,15292.469,1.000,"LINESTRING (-112.406252 33.680322, -112.405692 33.679931)",
201346AB,202790,202577,,1000_1500,314.406,0.000,314.406,1.000,"LINESTRING (-112.406252 33.680322, -112.405692 33.679931)",
201346AB,202790,202577,,1500_1800,176.512,0.000,176.512,1.000,"LINESTRING (-112.406252 33.680322, -112.405692 33.679931)",
201346BA,202577,202790,,0600_0900,6994.899,0.000,6994.899,1.000,"LINESTRING (-112.403856 33.682559, -112.404416 33.682950)",
201346BA,202577,202790,,1000_1500,1140.136,0.000,1140.136,1.000,"LINESTRING (-112.403856 33.682559, -112.404416 33.682950)",
201346BA,202577,202790,,1500_1800,640.087,0.000,640.087,1.000,"LINESTRING (-112.403856 33.682559, -112.404416 33.682950)",
201347AB,202790,202608,,0600_0900,6477.738,0.000,6477.738,1.000,"LINESTRING (-112.405334 33.681636, -112.407417 33.677491)",
201347AB,202790,202608,,1000_1500,889.311,0.000,889.311,1.000,"LINESTRING (-112.405334 33.681636, -112.407417 33.677491)",
201347AB,202790,202608,,1500_1800,499.271,0.000,499.271,1.000,"LINESTRING (-112.405334 33.681636, -112.407417 33.677491)",
201348AB,202578,202608,,0600_0900,4119.541,0.000,4119.541,1.000,"LINESTRING (-112.405692 33.679114, -112.407417 33.677491)",
201348AB,202578,202608,,1000_1500,652.488,0.000,652.488,1.000,"LINESTRING (-112.405692 33.679114, -112.407417 33.677491)",
201348AB,202578,202608,,1500_1800,366.315,0.000,366.315,1.000,"LINESTRING (-112.405692 33.679114, -112.407417 33.677491)",
201349AB,202579,202753,,0600_0900,5620.923,0.000,5620.923,1.000,"LINESTRING (-112.405285 33.678920, -112.403023 33.681234)",
201349AB,202579,202753,,1000_1500,853.096,0.000,853.096,1.000,"LINESTRING (-112.405285 33.678920, -112.403023 33.681234)",
201349AB,202579,202753,,1500_1800,478.939,0.000,478.939,1.000,"LINESTRING (-112.405285 33.678920, -112.403023 33.681234)",
201350AB,202576,202579,,0600_0900,1943.293,0.000,1943.293,1.000,"LINESTRING (-112.403035 33.679927, -112.405285 33.678920)",
201350AB,202576,202579,,1000_1500,138.327,0.000,138.327,1.000,"LINESTRING (-112.403035 33.679927, -112.405285 33.678920)",
201350AB,202576,202579,,1500_1800,77.659,0.000,77.659,1.000,"LINESTRING (-112.403035 33.679927, -112.405285 33.678920)",
201351AB,202577,202575,,0600_0900,15297.313,0.000,15297.313,1.000,"LINESTRING (-112.405756 33.679978, -112.404914 33.679325)",
201351AB,202577,202575,,1000_1500,316.452,0.000,316.452,1.000,"LINESTRING (-112.405756 33.679978, -112.404914 33.679325)",
201351AB,202577,202575,,1500_1800,177.661,0.000,177.661,1.000,"LINESTRING (-112.405756 33.679978, -112.404914 33.679325)",
201351BA,202575,202577,,0600_0900,6167.155,0.000,6167.155,1.000,"LINESTRING (-112.402950 33.681859, -112.403792 33.682512)",
201351BA,202575,202577,,1000_1500,1009.852,0.000,1009.852,1.000,"LINESTRING (-112.402950 33.681859, -112.403792 33.682512)",
201351BA,202575,202577,,1500_1800,566.944,0.000,566.944,1.000,"LINESTRING (-112.402950 33.681859, -112.403792 33.682512)",
201352AB,202578,202577,,0600_0900,832.588,0.000,832.588,1.000,"LINESTRING (-112.405692 33.679114, -112.404774 33.681245)",
